numeric_id,canonical_symbol,catalog_kind,catalog_layer,map_group,map_group_name,map_kind_label,step,phase,responsible_file,service_home_authoritative,candidate_service_INFERRED,owned_channels,mapped_file_count,csv_symbol_tokens,stale_csv_symbol,submodule_doc_status,flags
50000000000000000001,F1_CONFIG_PREFERENCES,INFRA_PLATFORM_MODULE,1,G0,Infrastructure Platform,INFRA_PLATFORM_MODULE,S01,PHASE_A,configuration_service.py,services/calendar-ingestor or standalone,common?,,0,,,MISSING,NO_FILES | SUBMODULE_UNDOC | PREFIX_COLLISION_F1
50000000000000000002,F3_CLOCK_SCHEDULER,INFRA_PLATFORM_MODULE,1,G0,Infrastructure Platform,INFRA_PLATFORM_MODULE,S02,PHASE_A,scheduler.py,services/calendar-ingestor,calendar-ingestor,,0,,,MISSING,NO_FILES | SUBMODULE_UNDOC
50000000000000000003,D2_CALENDAR_SOURCE_ADAPTER,INTEGRATION_BRIDGE_MODULE,2,G1,Data Ingest Layer,INTEGRATION_BRIDGE_MODULE,S03,PHASE_B,calendar_service.py::poll_scheduler,UNBOUND (not in map),calendar-ingestor,,11,D2_CALENDAR_SOURCE_ADAPTER,,YES (3 subs),SERVICE_UNBOUND
50000000000000000004,D3_CALENDAR_NORMALIZER,INTEGRATION_BRIDGE_MODULE,2,G1,Data Ingest Layer,INTEGRATION_BRIDGE_MODULE,S04,PHASE_B,calendar_service.py::normalize_events,UNBOUND (not in map),calendar-ingestor,,11,D3_CALENDAR_NORMALIZER,,YES (3 subs),SERVICE_UNBOUND
50000000000000000005,F2_EVENT_LOG,INFRA_PLATFORM_MODULE,1,G0,Infrastructure Platform,INFRA_PLATFORM_MODULE,S05,PHASE_B,event_log.py,Postgres via event_log.py,(Postgres - infra),,11,F2_EVENT_LOG,,MISSING,SUBMODULE_UNDOC
50000000000000000006,D4_CALENDAR_TRIGGER_BUILDER,INTEGRATION_BRIDGE_MODULE,2,G1,Data Ingest Layer,INTEGRATION_BRIDGE_MODULE,S06,PHASE_B,calendar_anticipator.py,UNBOUND (not in map),calendar-ingestor,,11,D4_CALENDAR_TRIGGER_BUILDER,,MISSING,SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000007,D1_MARKET_FEED_ADAPTER,INTEGRATION_BRIDGE_MODULE,2,G1,Data Ingest Layer,INTEGRATION_BRIDGE_MODULE,S07,PHASE_C,market_feed_adapter.py,UNBOUND (not in map),data-ingestor,dde_price_feed,12,D1_MARKET_FEED_ADAPTER,,MISSING,SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000008,C1_BAR_BUILDER,PIPELINE_STAGE_MODULE,3,G2,Compute / Feature Layer,COMPUTE_MODULE,S08,PHASE_C,bar_builder.py,UNBOUND (not in map),indicator-engine,,0,,,MISSING,KIND_MISMATCH | NO_FILES | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000009,C2_INDICATOR_ENGINE,PIPELINE_STAGE_MODULE,3,G2,Compute / Feature Layer,COMPUTE_MODULE,S09,PHASE_C,indicator_engine.py,UNBOUND (not in map),indicator-engine,,4,C2_INDICATOR_ENGINE,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000010,C3_FEATURE_PACKAGER,PIPELINE_STAGE_MODULE,3,G2,Compute / Feature Layer,COMPUTE_MODULE,S10,PHASE_D,feature_packager.py,UNBOUND (not in map),indicator-engine,,0,,,MISSING,KIND_MISMATCH | NO_FILES | SUBMODULE_UNDOC | SERVICE_UNBOUND
